time_hrs,c_top,c_mid,c_bot,mid_quarter,mid_corner
14.5000,74.4260,84.7220,82.4000,84.7220,88.0700
14.5833,74.3900,84.8120,82.4720,84.8120,88.0880
14.6667,74.3540,84.9020,82.5260,84.9020,88.1240
14.7500,74.3000,84.9920,82.5800,84.9920,88.1420
14.8333,74.2640,85.0820,82.6520,85.0820,88.1600
14.9167,74.2280,85.1720,82.7060,85.1720,88.1960
15.0000,74.1920,85.2620,82.7780,85.2620,88.2140
15.0833,74.1380,85.3520,82.8320,85.3520,88.2320
15.1667,74.1020,85.4600,82.8860,85.4600,88.2500
15.2500,74.0660,85.5500,82.9580,85.5500,88.2680
15.3333,74.0120,85.6400,83.0120,85.6400,88.2860
15.4167,73.9760,85.7300,83.0660,85.7300,88.3040
15.5000,73.9400,85.8200,83.1380,85.8200,88.3220
15.5833,73.9040,85.9100,83.1920,85.9100,88.3580
15.6667,73.8680,86.0000,83.2460,86.0000,88.3760
15.7500,73.8140,86.0900,83.3180,86.0900,88.3940
15.8333,73.7780,86.1800,83.3720,86.1800,88.4120
15.9167,73.7420,86.2700,83.4260,86.2700,88.4480
16.0000,73.7060,86.3600,83.4800,86.3600,88.4660
16.0833,73.6700,86.4500,83.5520,86.4500,88.4840
16.1667,73.6340,86.5400,83.6060,86.5400,88.5020
16.2500,73.5980,86.6300,83.6600,86.6300,88.5380
16.3333,73.5620,86.7200,83.7140,86.7200,88.5560
16.4167,73.5260,86.8100,83.7860,86.8100,88.5740
16.5000,73.4900,86.9000,83.8400,86.9000,88.6100
16.5833,73.4540,86.9900,83.8940,86.9900,88.6280
16.6667,73.4180,87.0800,83.9480,87.0800,88.6460
16.7500,73.3820,87.1700,84.0020,87.1700,88.6640
16.8333,73.3460,87.2600,84.0740,87.2600,88.6820
16.9167,73.3280,87.3500,84.1280,87.3500,88.7180
17.0000,73.2920,87.4400,84.1820,87.4400,88.7360
17.0833,73.2560,87.5300,84.2360,87.5300,88.7540
17.1667,73.2200,87.6200,84.2900,87.6200,88.7720
17.2500,73.1840,87.7100,84.3440,87.7100,88.7900
17.3333,73.1660,87.8000,84.3980,87.8000,88.8080
17.4167,73.1300,87.8900,84.4700,87.8900,88.8260
17.5000,73.0940,87.9800,84.5240,87.9800,88.8440
17.5833,73.0760,88.0700,84.5780,88.0700,88.8620
17.6667,73.0400,88.1600,84.6320,88.1600,88.8800
17.7500,73.0040,88.2500,84.6860,88.2500,88.8980
17.8333,72.9860,88.3400,84.7400,88.3400,88.9160
17.9167,72.9500,88.4300,84.7940,88.4300,88.9340
18.0000,72.9140,88.5200,84.8480,88.5200,88.9520
18.0833,72.8960,88.6100,84.9020,88.6100,88.9520
18.1667,72.8600,88.7000,84.9560,88.7000,88.9700
18.2500,72.8420,88.7900,85.0100,88.7900,88.9880
18.3333,72.8060,88.8800,85.0640,88.8800,89.0060
18.4167,72.7700,88.9700,85.1180,88.9700,89.0240
18.5000,72.7520,89.0600,85.1720,89.0600,89.0240
18.5833,72.7160,89.1320,85.2260,89.1320,89.0420
18.6667,72.6980,89.2220,85.2800,89.2220,89.0600
18.7500,72.6620,89.3120,85.3340,89.3120,89.0600
18.8333,72.6440,89.4020,85.3880,89.4020,89.0780
18.9167,72.6080,89.4920,85.4420,89.4920,89.0960
19.0000,72.5900,89.5820,85.4960,89.5820,89.0960
19.0833,72.5720,89.6720,85.5500,89.6720,89.1140
19.1667,72.5360,89.7620,85.6040,89.7620,89.1320
19.2500,72.5180,89.8520,85.6580,89.8520,89.1320
19.3333,72.4820,89.9420,85.7120,89.9420,89.1500
19.4167,72.4640,90.0140,85.7660,90.0140,89.1680
19.5000,72.4460,90.1040,85.8020,90.1040,89.1680
19.5833,72.4100,90.1940,85.8560,90.1940,89.1860
19.6667,72.3920,90.2840,85.9100,90.2840,89.2040
19.7500,72.3740,90.3740,85.9640,90.3740,89.2040
19.8333,72.3380,90.4640,86.0180,90.4640,89.2220
19.9167,72.3200,90.5540,86.0720,90.5540,89.2400
20.0000,72.3020,90.6260,86.1260,90.6260,89.2400
20.0833,72.2660,90.7160,86.1800,90.7160,89.2580
20.1667,72.2480,90.8060,86.2160,90.8060,89.2760
